file,L,Omega,M,trC,eigmin(PSD),E_from_roots
RG_L2_single.pkl,2,4,1,1.0,-2.857940851782686e-17,-0.5397806335824219
RG_L4_single.pkl,4,10,2,2.0000000000000004,-3.3144351374564704e-16,-0.6304737719161504
RG_L6_single.pkl,6,20,5,5.0,-2.492577697056282e-16,-1.263449191780253
RG_L8_single.pkl,8,34,8,7.999999999999999,-1.3319382794232374e-15,-1.9312681612360758
RG_L10_single.pkl,10,52,13,13.000000000000002,-2.6613642238997472e-15,-2.9824251308282967
RG_L12_single.pkl,12,74,18,17.999999999999996,-3.5501572481779362e-15,-4.018878393756505
RG_L14_single.pkl,14,100,25,25.0,-5.85372382896069e-15,-5.431284218557884
RG_L16_single.pkl,16,130,32,32.0,-7.297988112224702e-15,-6.879914752345282
RG_L18_single.pkl,18,164,41,41.0,-1.1792249274140007e-14,-9.04557877930489
